Video ID,Title,View Count,Like Count,Comment Count
s6JjHAnCWqU,"Can you join a cult without knowing it? Is The Latitude a game, business or something else?",2054767,74256,3736
g5NG6mo1zGY,The Phantom Time Hypothesis | 300 Years ARE MISSING from the Calendar,3235194,123009,4608
kAm6dKvFb78,Tesla's technology to talk to spirits of the dead,1760248,95160,4363
dSZvXgu7Q2Q,The Government has Secret Listening Posts in Every Major City,1562874,88889,4772
x-Veqz6JpQY,Area 51 Airline? | JANET: The Secret Government Airline That Doesn't Exist,2928867,89971,3206
4TrT9tVjNJg,Polybius | The Most Deadly Video Game in History | More Truth than Legend,2415670,77581,3430
P8cP1ChW3io,Comparing Earth technology with alien civilizations | The Kardashev Scale,1931066,76088,3932
hHpfGf_bFps,The Dog Suicide Bridge | Why Have Hundreds of Dogs Jumped?,557705,28696,1001
aTuonpTAIOw,UNSOLVED: The Creepiest TV Hack in History,3753807,101506,4151
hckQ0TZ1h4w,The Secret Room Inside Mount Rushmore and Other Little Known Facts,1311515,54488,1005
JSwT3vWazFo,The Science of Ancient Acoustic Levitation | How The Pyramids Were Built?,2332986,139117,7693
qP-NvqHBfrk,"Message To The Misfits, Outcasts, Dreamers & Visionaries",642368,44323,2705
CLATUuVcPBs,Earthquakes Asteroids Zombies: Predictions of Nostradamus,1911107,86406,4406
YGub8195Zus,Stuxnet | The Computer Virus That Caused World War 3,4598144,150493,6971
cfv6nm4ykLY,"Numbers Stations | Listen to Spy Broadcasts, Audio & Coded Messages",1814405,73931,2401
TeS_Yq-7vHw,Time Travel Possible? Evidence Says Yes | 9 Time Travelers caught on film,2942513,137639,5657
Y5szkAecabU,Aztec Death Whistle | The Scariest Sound You've Ever Heard,1614124,75962,3005
TNKZz-C0EOc,"The Philadelphia Experiment - The truth about invisibility, teleportation and time travel",2353226,108499,2475
v54begBp3pE,Why We Like To Be Scared | Do You Enjoy Fear?  This video will scare you. 😱,454341,30369,1025
7YT8bfZI8fs,"CIA Declassifies UFO Documents 👽 | Download Now 💾 | 3,000 Pages",237754,11150,137
twstdwcxjdk,Largest Dinosaur EVER Discovered 😮 | Bigger than Patagotitan Majorum,181240,11419,184
WMETBHvo-U4,"The Nevada Triangle | 2,000 Planes Mysteriously Crashed & Missing Near Area 51 👽🤔",1325084,84063,2267
urvVEQWbWak,What does outer space smell like? (You're not gonna like it.),714977,42909,1610
__CI6-fjbsU,Voynich Manuscript Decoded | The Mysterious Book Finally Solved?,2266587,93851,4318
P6mwnfqoNFg,Nanorobotics & Nanotechnology | Changes Our Lives Forever,1269202,62015,2472
YF8gc1jBiFM,"Uncanny Valley Explained | Why Robots, Dolls and Mannequins are Creepy",1584439,79095,3180
xrbkQsEP7zY,Why The Dinosaurs Died | The Chicxulub Asteroid Impact,1332568,70337,2139
fWKCFahyRHw,OFF LIMITS: The Most Secret Places in the World,2099558,111138,4593
CZNEQFp9FYw,"Why doesn't the US use Metric? Pirates. Yes, pirates.",1061283,55366,3497
16xhpv13DsM,"Raining spiders, frogs, fish and ... meat. Yes, meat.",703263,41020,1561
Hmy867m2QlQ,"ASMR: What it is, what it stands for and how it works",1085587,75370,3954
HZpUbBDWLK0,Top 10 Scariest Places You Can Actually Visit Right Now. IF YOU DARE.,1709119,91833,3355
FNiXDiNsM9Q,Top 10 Terrifying Animals That Actually Exist,559493,41337,1232
BR_8AxIwKV8,15 Mind Blowing Math Facts | Insane but True,1738746,71073,4269
